id,name,genericName,category,unit,currentStock,minimumStock,monthlyUsage,supplier,unitCost,expiryDate,notes
1,Amoxicillin 500mg,Amoxicillin,Antibiotics,Capsules,150,200,300,MedPharma Inc.,0.45,2026-12-31,Broad-spectrum penicillin antibiotic
2,Paracetamol 500mg,Acetaminophen,Analgesics,Tablets,800,500,1000,HealthCare Supplies,0.08,2027-06-30,Common pain reliever and fever reducer
3,Metformin 500mg,Metformin HCl,Antidiabetics,Tablets,300,400,500,DiabCare Pharma,0.12,2026-09-30,First-line medication for type 2 diabetes
4,Atorvastatin 20mg,Atorvastatin,Cardiovascular,Tablets,50,150,200,CardioMed Ltd.,0.55,2026-08-31,Statin medication for cholesterol management
5,Omeprazole 20mg,Omeprazole,Gastrointestinal,Capsules,250,200,350,GastroPharm Co.,0.30,2027-03-31,Proton pump inhibitor for acid reflux
6,Amlodipine 5mg,Amlodipine,Cardiovascular,Tablets,80,200,250,CardioMed Ltd.,0.18,2027-01-31,Calcium channel blocker for hypertension
7,Salbutamol Inhaler,Albuterol,Respiratory,Inhaler,30,50,60,RespiraCare Inc.,4.50,2026-11-30,Bronchodilator for asthma relief
8,Doxycycline 100mg,Doxycycline,Antibiotics,Capsules,100,100,150,MedPharma Inc.,0.38,2026-10-31,Tetracycline antibiotic
9,Lisinopril 10mg,Lisinopril,Cardiovascular,Tablets,0,100,150,CardioMed Ltd.,0.22,2026-12-31,ACE inhibitor for hypertension
10,Ibuprofen 400mg,Ibuprofen,Analgesics,Tablets,500,300,600,HealthCare Supplies,0.10,2027-08-31,NSAID for pain and inflammation
11,Cetirizine 10mg,Cetirizine,Antihistamines,Tablets,400,200,400,AllerMed Corp.,0.15,2027-05-31,Antihistamine for allergies
12,Metronidazole 400mg,Metronidazole,Antibiotics,Tablets,60,100,120,MedPharma Inc.,0.25,2026-07-31,Antibiotic for anaerobic infections
13,Insulin Glargine,Insulin Glargine,Antidiabetics,Vials,20,40,45,DiabCare Pharma,32.00,2026-06-30,Long-acting basal insulin
14,Aspirin 100mg,Acetylsalicylic Acid,Cardiovascular,Tablets,600,300,700,HealthCare Supplies,0.06,2027-12-31,Antiplatelet therapy
15,Pantoprazole 40mg,Pantoprazole,Gastrointestinal,Tablets,180,150,220,GastroPharm Co.,0.42,2027-02-28,PPI for gastric acid disorders
16,Azithromycin 500mg,Azithromycin,Antibiotics,Tablets,0,80,90,MedPharma Inc.,0.85,2026-05-31,Macrolide antibiotic
17,Hydrochlorothiazide 25mg,HCTZ,Cardiovascular,Tablets,120,150,180,CardioMed Ltd.,0.09,2027-04-30,Thiazide diuretic
18,Vitamin D3 1000IU,Cholecalciferol,Vitamins,Tablets,350,200,400,NutraMed Co.,0.12,2027-09-30,Vitamin D supplement
19,Ciprofloxacin 500mg,Ciprofloxacin,Antibiotics,Tablets,75,100,130,MedPharma Inc.,0.60,2026-09-30,Fluoroquinolone antibiotic
20,Simvastatin 40mg,Simvastatin,Cardiovascular,Tablets,90,120,160,CardioMed Ltd.,0.28,2027-01-31,Statin for cholesterol
